lat,lon,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
-23.5586612,-46.7087599,7.4352303,-90.416046,7.1341987,12.379409,3.1920476,48.948494,6.2770386,-95.42085,28.741318,48.0699
-23.5566713,-46.7127485,18.585846,-62.1045,-57.951363,46.712738,3.77886,-77.17545,-10.601976,-91.027855,53.62372,-43.679035
-23.5597061,-46.7108973,-24.314955,-68.010574,50.29168,39.96307,-26.879272,69.748436,28.329832,-5.958453,5.1984982,57.253708
-23.5946282,-46.6922781,-0.88601345,108.0385,43.27727,46.803005,-1.1634637,74.322014,12.771058,84.3571,3.7572377,50.160458
-23.5921689,-46.6921748,-1.4176888,107.758484,38.71529,35.941402,10.497538,69.83398,12.6971445,85.05811,21.687212,66.524506
-23.5094757,-46.7096293,-48.371895,88.736084,17.772694,16.36651,0.7367253,52.743263,22.400053,93.72866,29.301046,55.632645
-23.5154691,-46.6717699,-86.5577,-52.904934,58.61599,64.494064,46.24583,41.694813,32.428013,1.4841129,-30.295305,57.806664
-23.5161263,-46.6671199,-26.274132,91.7896,-34.83608,58.750748,-53.05562,-39.410934,20.26086,112.18099,40.10344,-16.332872
-23.5179562,-46.6514629,-46.44432,64.51566,-64.98832,-2.5406806,48.22841,-66.846344,34.986362,93.17467,67.190544,21.503584
-23.5178168,-46.6505216,-46.444313,64.51566,-39.87197,55.637905,-53.033657,-54.186443,35.04296,93.18579,66.70096,21.370491
-23.518581,-46.6469816,-95.12795,-27.625193,-66.520874,52.847294,-55.30839,-6.404764,58.899853,-35.01297,1.0390549,-32.953026
-23.5208924,-46.6426901,-45.9434,65.75041,40.474403,-16.429548,57.840515,-14.233959,32.3195,93.61966,53.23415,7.0182424
-23.5198623,-46.6363004,-49.723213,74.49242,-3.3475318,84.67248,51.19527,79.78526,36.532368,45.669285,-30.069447,79.56946
-23.5192517,-46.6329128,-50.42042,73.9513,-82.05229,26.67611,-4.1198764,-51.647305,34.68032,99.23129,69.32588,26.898228
-23.5198591,-46.6306778,92.497696,33.331093,46.81787,14.717026,-16.277906,72.913414,63.88012,-2.1045141,50.77339,31.981724
-23.5199059,-46.629684,92.242134,33.24931,-33.849094,14.812721,45.399715,-59.059845,75.606026,-13.750432,68.95552,30.357275
-23.5198746,-46.6285394,92.496895,33.703575,-67.505424,-7.2226,-2.5450306,-53.15368,75.65589,-14.219907,69.408844,29.312294
-23.5199594,-46.626918,92.507164,33.670673,-62.512436,51.883575,27.732956,-60.27888,75.64763,-14.285316,68.8242,29.511404
-23.5200626,-46.6225851,-23.807056,65.90424,7.519091,11.951067,-15.294996,27.986778,-13.040019,96.96116,-48.91955,6.402531
-23.5196729,-46.6207637,-15.992398,68.06577,-18.843964,21.95498,-21.632696,22.723206,-17.238943,97.201454,-48.780792,-34.816
-23.5218113,-46.6141929,3.9804616,28.140968,0.116180964,-29.706846,-51.337967,35.514225,-37.594086,-15.602396,-25.303038,-13.2539015
-23.5232174,-46.6126896,5.1157517,38.65531,-83.92759,24.499403,-41.147533,-17.434305,-80.82964,-22.390894,-21.441368,-19.635265
-23.52377,-46.6115037,5.1157517,38.65531,-31.465336,32.083454,-55.67573,-31.005745,-80.87454,-22.525198,-35.57488,-34.523266
-23.5240816,-46.6101309,9.736477,33.37102,-30.147654,-67.188255,-3.817322,-33.86206,-64.26953,-14.989959,-14.900115,-40.654636
-23.5241708,-46.6089591,2.1553528,9.832075,27.79667,-71.97072,12.036321,-14.171477,-50.027943,-25.142902,-9.710592,0.10598039
-23.5297728,-46.5947693,21.915268,58.50183,35.267765,30.3564,9.00656,68.16804,3.0114977,78.70237,23.468195,66.00072
-23.5304036,-46.5906833,-9.996865,95.43067,15.176611,-8.221613,-23.42236,39.400734,13.290854,111.907684,34.813423,31.529938
-23.5297732,-46.5888335,-9.987044,95.43656,-89.37041,14.226335,11.275941,-49.94951,14.524016,112.01095,29.46749,-19.861609
-23.529241,-46.5867307,-9.996865,95.43067,47.149467,8.952956,-28.298634,66.44554,12.250374,98.34879,6.7127075,54.468235
-23.5275642,-46.5894169,-12.777319,93.54813,35.381344,42.28748,14.399685,84.24224,20.944454,79.83145,26.318863,74.99877
-23.5293542,-46.592763,18.760155,56.388012,10.449618,62.63217,-4.48831,87.7675,25.465776,71.34518,2.9156132,85.92279
-23.5277493,-46.5919814,18.760162,56.388027,62.550903,16.773848,-14.715304,52.542763,-4.919957,78.400566,-20.786484,26.221138
-23.5277222,-46.5926512,18.760149,56.388016,9.443916,64.61146,-5.8001857,89.31182,25.84971,70.94967,3.1093273,87.21444
